order_id,date,category,product,region,quantity,unit_price,revenue,customer_age,rating
1001,2025-01-05,Electronics,Wireless Earbuds,Dhaka,2,45.00,90.00,28,4.5
1002,2025-01-06,Apparel,Cotton T-Shirt,Chittagong,5,12.50,62.50,34,4.0
1003,2025-01-07,Electronics,Smart Watch,Dhaka,1,120.00,120.00,41,4.8
1004,2025-01-08,Home,Ceramic Mug Set,Sylhet,3,18.00,54.00,52,3.5
1005,2025-01-09,Books,Data Science Handbook,Dhaka,1,35.00,35.00,23,5.0
1006,2025-01-10,Apparel,Denim Jacket,Khulna,2,55.00,110.00,29,4.2
1007,2025-01-11,Electronics,Bluetooth Speaker,Chittagong,4,30.00,120.00,37,4.1
1008,2025-01-12,Home,LED Desk Lamp,Dhaka,2,22.00,44.00,45,3.9
1009,2025-01-13,Books,Python Crash Course,Rajshahi,3,28.00,84.00,21,4.7
1010,2025-01-14,Electronics,USB-C Cable,Dhaka,10,8.00,80.00,33,4.0
1011,2025-01-15,Apparel,Running Shoes,Chittagong,1,75.00,75.00,27,4.6
1012,2025-01-16,Home,Throw Pillow,Sylhet,4,15.00,60.00,48,3.8
1013,2025-01-17,Electronics,Power Bank,Dhaka,3,40.00,120.00,31,4.4
1014,2025-01-18,Books,Machine Learning Yearning,Khulna,2,30.00,60.00,26,4.9
1015,2025-01-19,Apparel,Wool Sweater,Dhaka,1,48.00,48.00,55,4.1
1016,2025-01-20,Electronics,Webcam HD,Chittagong,2,38.00,76.00,39,3.7
1017,2025-01-21,Home,Storage Box Set,Rajshahi,3,25.00,75.00,44,4.0
1018,2025-01-22,Books,Clean Code,Dhaka,1,42.00,42.00,30,4.8
1019,2025-01-23,Apparel,Baseball Cap,Sylhet,6,14.00,84.00,24,3.9
1020,2025-01-24,Electronics,Mechanical Keyboard,Dhaka,1,95.00,95.00,35,4.7
1021,2025-01-25,Home,Wall Clock,Chittagong,2,28.00,56.00,50,4.2
1022,2025-01-26,Books,Designing Data-Intensive Apps,Dhaka,1,55.00,55.00,32,5.0
1023,2025-01-27,Apparel,Leather Belt,Khulna,3,22.00,66.00,43,3.6
1024,2025-01-28,Electronics,Wireless Mouse,Dhaka,4,25.00,100.00,28,4.3
1025,2025-01-29,Home,Scented Candle,Rajshahi,5,12.00,60.00,38,4.1
1026,2025-01-30,Books,The Pragmatic Programmer,Dhaka,2,45.00,90.00,29,4.9
1027,2025-02-01,Electronics,Noise Cancel Headphones,Chittagong,1,150.00,150.00,36,4.8
1028,2025-02-02,Apparel,Winter Scarf,Sylhet,4,18.00,72.00,47,3.8
1029,2025-02-03,Home,Coffee Maker,Dhaka,1,85.00,85.00,53,4.5
1030,2025-02-04,Books,Refactoring,Khulna,1,48.00,48.00,31,4.7
1031,2025-02-05,Electronics,Tablet Stand,Dhaka,3,20.00,60.00,25,3.9
1032,2025-02-06,Apparel,Hoodie,Chittagong,2,40.00,80.00,22,4.4
1033,2025-02-07,Home,Bedside Lamp,Rajshahi,2,32.00,64.00,49,4.0
1034,2025-02-08,Books,Grokking Algorithms,Dhaka,3,33.00,99.00,27,4.8
1035,2025-02-09,Electronics,Smart Bulb,Sylhet,5,15.00,75.00,40,4.1
1036,2025-02-10,Apparel,Formal Shirt,Dhaka,2,38.00,76.00,44,4.2
1037,2025-02-11,Home,Cutting Board,Chittagong,3,16.00,48.00,51,3.7
1038,2025-02-12,Books,You Don't Know JS,Dhaka,1,30.00,30.00,24,4.6
1039,2025-02-13,Electronics,Gaming Headset,Khulna,1,68.00,68.00,19,4.5
1040,2025-02-14,Apparel,Sneakers,Dhaka,2,82.00,164.00,26,4.7
1041,2025-02-15,Home,Vacuum Flask,Rajshahi,4,24.00,96.00,46,4.0
1042,2025-02-16,Books,Eloquent JavaScript,Dhaka,2,36.00,72.00,28,4.8
1043,2025-02-17,Electronics,Wireless Charger,Chittagong,3,28.00,84.00,33,4.2
1044,2025-02-18,Apparel,Polo Shirt,Sylhet,3,26.00,78.00,38,3.9
1045,2025-02-19,Home,Picture Frame Set,Dhaka,2,30.00,60.00,42,4.1
1046,2025-02-20,Books,Deep Learning,Khulna,1,60.00,60.00,30,4.9
1047,2025-02-21,Electronics,4K Monitor,Dhaka,1,280.00,280.00,37,4.8
1048,2025-02-22,Apparel,Track Pants,Chittagong,3,34.00,102.00,23,4.3
1049,2025-02-23,Home,Electric Kettle,Rajshahi,2,45.00,90.00,54,4.4
1050,2025-02-24,Books,Hands-On Machine Learning,Dhaka,2,52.00,104.00,29,5.0
